timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629372025779,5838,get all todos,200,,jp@gc - spike test 1-1664,text,true,,29759,121,1596,1596,http://localhost:8080/todos,5807,0,19
1629372027033,4585,get all todos,200,,jp@gc - spike test 1-699,text,true,,29759,121,1596,1596,http://localhost:8080/todos,4574,0,12
1629372026768,4852,get all todos,200,,jp@gc - spike test 1-569,text,true,,29759,121,1596,1596,http://localhost:8080/todos,4839,0,0
1629372027205,4425,get all todos,200,,jp@gc - spike test 1-350,text,true,,29759,121,1592,1592,http://localhost:8080/todos,4385,0,0
1629372026816,4814,get all todos,200,,jp@gc - spike test 1-938,text,true,,29767,121,1592,1592,http://localhost:8080/todos,4764,0,505
1629372027278,4353,get all todos,200,,jp@gc - spike test 1-165,text,true,,29759,121,1592,1592,http://localhost:8080/todos,4306,0,1
1629372026758,4877,get all todos,200,,jp@gc - spike test 1-586,text,true,,29767,121,1592,1592,http://localhost:8080/todos,4824,0,1
1629372026782,4857,get all todos,200,,jp@gc - spike test 1-1025,text,true,,29759,121,1589,1589,http://localhost:8080/todos,4825,0,1
1629372026844,4805,get all todos,200,,jp@gc - spike test 1-765,text,true,,29759,121,1587,1587,http://localhost:8080/todos,4792,0,1
1629372027182,4468,get all todos,200,,jp@gc - spike test 1-418,text,true,,29759,121,1587,1587,http://localhost:8080/todos,4443,0,1
1629372027215,4437,get all todos,200,,jp@gc - spike test 1-310,text,true,,29759,121,1587,1587,http://localhost:8080/todos,4426,0,0
1629372027102,4553,get all todos,200,,jp@gc - spike test 1-1306,text,true,,29759,121,1587,1587,http://localhost:8080/todos,4515,0,1
1629372025826,5830,get all todos,200,,jp@gc - spike test 1-1640,text,true,,29767,121,1587,1587,http://localhost:8080/todos,5781,0,1039
1629372026308,5352,get all todos,200,,jp@gc - spike test 1-1538,text,true,,29759,121,1585,1585,http://localhost:8080/todos,5326,0,1014
1629372026886,4782,create a to do,201,,jp@gc - spike test 1-1987,text,true,,666,258,1581,1581,http://localhost:8080/todos,4750,0,0
1629372031666,0,create a to do-0,200,OK,jp@gc - spike test 1-1987,text,true,,312,0,1581,1581,null,0,0,0
1629372027054,4612,get all todos,200,,jp@gc - spike test 1-560,text,true,,29821,121,1582,1582,http://localhost:8080/todos,4595,0,0
1629372027048,4623,get all todos,200,,jp@gc - spike test 1-115,text,true,,29821,121,1580,1580,http://localhost:8080/todos,4603,0,1
1629372027213,4460,get all todos,200,,jp@gc - spike test 1-314,text,true,,29821,121,1579,1579,http://localhost:8080/todos,4437,0,1
1629372025742,5932,get all todos,200,,jp@gc - spike test 1-1810,text,true,,29821,121,1579,1579,http://localhost:8080/todos,5913,0,1
1629372027015,4664,get all todos,200,,jp@gc - spike test 1-825,text,true,,29759,121,1578,1578,http://localhost:8080/todos,4620,0,6
1629372026800,4881,get all todos,200,,jp@gc - spike test 1-591,text,true,,29759,121,1577,1577,http://localhost:8080/todos,4835,0,0
1629372026691,4998,get all todos,200,,jp@gc - spike test 1-935,text,true,,29821,121,1574,1574,http://localhost:8080/todos,4963,0,0
1629372027219,4473,get all todos,200,,jp@gc - spike test 1-302,text,true,,29821,121,1574,1574,http://localhost:8080/todos,4436,0,0
1629372026748,4949,get all todos,200,,jp@gc - spike test 1-568,text,true,,29821,121,1573,1573,http://localhost:8080/todos,4927,0,1
1629372026814,4884,get all todos,200,,jp@gc - spike test 1-904,text,true,,29821,121,1573,1573,http://localhost:8080/todos,4866,0,1
1629372027309,4396,get all todos,200,,jp@gc - spike test 1-789,text,true,,29829,121,1571,1571,http://localhost:8080/todos,4359,0,1
1629372026991,4715,get all todos,200,,jp@gc - spike test 1-1617,text,true,,29821,121,1570,1570,http://localhost:8080/todos,4677,0,1
1629372027241,4467,get all todos,200,,jp@gc - spike test 1-237,text,true,,29829,121,1570,1570,http://localhost:8080/todos,4437,0,0
1629372026825,4889,get all todos,200,,jp@gc - spike test 1-1118,text,true,,29821,121,1568,1568,http://localhost:8080/todos,4830,0,515
1629372026390,5325,get all todos,200,,jp@gc - spike test 1-743,text,true,,29821,121,1568,1568,http://localhost:8080/todos,5277,0,505
1629372027249,4467,get all todos,200,,jp@gc - spike test 1-1176,text,true,,29821,121,1568,1568,http://localhost:8080/todos,4429,0,1
1629372027032,4704,get all todos,200,,jp@gc - spike test 1-549,text,true,,29821,121,1565,1565,http://localhost:8080/todos,4658,0,25
1629372027017,4723,get all todos,200,,jp@gc - spike test 1-233,text,true,,29821,121,1564,1564,http://localhost:8080/todos,4684,0,1
1629372027081,4662,get all todos,200,,jp@gc - spike test 1-1634,text,true,,29829,121,1564,1564,http://localhost:8080/todos,4611,0,1
1629372027193,4551,get all todos,200,,jp@gc - spike test 1-1049,text,true,,29821,121,1564,1564,http://localhost:8080/todos,4499,0,0
1629372027033,4718,get all todos,200,,jp@gc - spike test 1-610,text,true,,29821,121,1561,1561,http://localhost:8080/todos,4669,0,17
1629372027142,4612,get all todos,200,,jp@gc - spike test 1-42,text,true,,29821,121,1560,1560,http://localhost:8080/todos,4566,0,2
1629372026820,4939,get all todos,200,,jp@gc - spike test 1-993,text,true,,29821,121,1559,1559,http://localhost:8080/todos,4883,0,520
1629372025858,5901,get all todos,200,,jp@gc - spike test 1-1273,text,true,,29821,121,1559,1559,http://localhost:8080/todos,5841,0,1011
1629372027210,4559,get all todos,200,,jp@gc - spike test 1-852,text,true,,29829,121,1557,1557,http://localhost:8080/todos,4498,0,0
1629372026475,5298,get all todos,200,,jp@gc - spike test 1-1508,text,true,,29821,121,1556,1556,http://localhost:8080/todos,5273,0,514
1629372027327,4449,get all todos,200,,jp@gc - spike test 1-116,text,true,,29829,121,1555,1555,http://localhost:8080/todos,4394,0,1
1629372027118,4661,get all todos,200,,jp@gc - spike test 1-459,text,true,,29821,121,1555,1555,http://localhost:8080/todos,4631,0,1
1629372025275,6505,get all todos,200,,jp@gc - spike test 1-1887,text,true,,29821,121,1555,1555,http://localhost:8080/todos,6466,0,430
1629372027042,4743,get all todos,200,,jp@gc - spike test 1-125,text,true,,29821,121,1553,1553,http://localhost:8080/todos,4710,0,1
1629372027088,4700,get all todos,200,,jp@gc - spike test 1-1635,text,true,,29821,121,1552,1552,http://localhost:8080/todos,4674,0,3
1629372026385,5404,get all todos,200,,jp@gc - spike test 1-756,text,true,,29821,121,1551,1551,http://localhost:8080/todos,5361,0,510
1629372026845,4954,get all todos,200,,jp@gc - spike test 1-790,text,true,,29821,121,1548,1548,http://localhost:8080/todos,4930,0,0
1629372026818,4981,get all todos,200,,jp@gc - spike test 1-968,text,true,,29883,121,1548,1548,http://localhost:8080/todos,4980,0,504
1629372026995,4810,get all todos,200,,jp@gc - spike test 1-1623,text,true,,29821,121,1548,1548,http://localhost:8080/todos,4780,0,2
1629372027357,4452,get all todos,200,,jp@gc - spike test 1-28,text,true,,29883,121,1546,1546,http://localhost:8080/todos,4436,0,0
1629372027148,4661,get all todos,200,,jp@gc - spike test 1-29,text,true,,29883,121,1546,1546,http://localhost:8080/todos,4648,0,0
1629372027249,4560,get all todos,200,,jp@gc - spike test 1-1605,text,true,,29821,121,1546,1546,http://localhost:8080/todos,4539,0,0
1629372026782,5037,create a to do,201,,jp@gc - spike test 1-1799,text,true,,666,258,1542,1542,http://localhost:8080/todos,5004,0,0
1629372031816,1,create a to do-0,200,OK,jp@gc - spike test 1-1799,text,true,,312,0,1542,1542,null,0,0,0
1629372026472,5350,get all todos,200,,jp@gc - spike test 1-659,text,true,,29891,121,1541,1541,http://localhost:8080/todos,5319,0,503
1629372027284,4538,get all todos,200,,jp@gc - spike test 1-1259,text,true,,29883,121,1541,1541,http://localhost:8080/todos,4507,0,0
1629372027229,4599,get all todos,200,,jp@gc - spike test 1-1129,text,true,,29883,121,1541,1541,http://localhost:8080/todos,4571,0,0
1629372027032,4798,get all todos,200,,jp@gc - spike test 1-536,text,true,,29883,121,1539,1539,http://localhost:8080/todos,4788,0,30
1629372025274,6555,get all todos,200,,jp@gc - spike test 1-1986,text,true,,29883,121,1539,1539,http://localhost:8080/todos,6517,0,415
1629372025862,6022,get all todos,200,,jp@gc - spike test 1-1272,text,true,,29883,121,1536,1536,http://localhost:8080/todos,5956,0,1003
1629372026780,5105,get all todos,200,,jp@gc - spike test 1-1215,text,true,,29891,121,1536,1536,http://localhost:8080/todos,5020,0,1
1629372027225,4663,get all todos,200,,jp@gc - spike test 1-280,text,true,,29891,121,1536,1536,http://localhost:8080/todos,4580,0,0
1629372026824,5076,get all todos,200,,jp@gc - spike test 1-1089,text,true,,29883,121,1533,1533,http://localhost:8080/todos,5013,0,517
1629372026311,5594,get all todos,200,,jp@gc - spike test 1-1562,text,true,,29883,121,1533,1533,http://localhost:8080/todos,5594,0,1011
1629372027031,4887,get all todos,200,,jp@gc - spike test 1-488,text,true,,29883,121,1531,1531,http://localhost:8080/todos,4787,0,45
1629372026393,5533,get all todos,200,,jp@gc - spike test 1-1380,text,true,,29883,121,1530,1530,http://localhost:8080/todos,5533,0,503
1629372027201,4744,get all todos,200,,jp@gc - spike test 1-362,text,true,,29883,121,1530,1530,http://localhost:8080/todos,4744,0,0
1629372026468,5477,get all todos,200,,jp@gc - spike test 1-679,text,true,,29883,121,1530,1530,http://localhost:8080/todos,5477,0,506
1629372026816,5110,get all todos,200,,jp@gc - spike test 1-944,text,true,,29883,121,1530,1530,http://localhost:8080/todos,5110,0,505
1629372027175,4750,get all todos,200,,jp@gc - spike test 1-389,text,true,,29883,121,1530,1530,http://localhost:8080/todos,4750,0,0
1629372026260,5693,get all todos,200,,jp@gc - spike test 1-1586,text,true,,29883,121,1529,1529,http://localhost:8080/todos,5551,0,512
1629372026460,5502,get all todos,200,,jp@gc - spike test 1-719,text,true,,29883,121,1524,1524,http://localhost:8080/todos,5434,0,515
1629372027223,4752,get all todos,200,,jp@gc - spike test 1-1350,text,true,,29883,121,1523,1523,http://localhost:8080/todos,4752,0,0
1629372026718,5259,get all todos,200,,jp@gc - spike test 1-618,text,true,,29883,121,1523,1523,http://localhost:8080/todos,5205,0,0
1629372026822,5156,get all todos,200,,jp@gc - spike test 1-1052,text,true,,29883,121,1523,1523,http://localhost:8080/todos,5073,0,516
1629372026728,5251,get all todos,200,,jp@gc - spike test 1-413,text,true,,29883,121,1523,1523,http://localhost:8080/todos,5195,0,0
1629372027049,4939,get all todos,200,,jp@gc - spike test 1-114,text,true,,29883,121,1519,1519,http://localhost:8080/todos,4874,0,1
1629372026984,5005,get all todos,200,,jp@gc - spike test 1-1514,text,true,,29883,121,1519,1519,http://localhost:8080/todos,5005,0,1
1629372026801,5189,get all todos,200,,jp@gc - spike test 1-330,text,true,,29883,121,1519,1519,http://localhost:8080/todos,5189,0,1
1629372026726,5268,get all todos,200,,jp@gc - spike test 1-415,text,true,,29883,121,1519,1519,http://localhost:8080/todos,5268,0,1
1629372027019,4976,get all todos,200,,jp@gc - spike test 1-837,text,true,,29883,121,1519,1519,http://localhost:8080/todos,4976,0,1
1629372027282,4719,get all todos,200,,jp@gc - spike test 1-1248,text,true,,29883,121,1516,1516,http://localhost:8080/todos,4633,0,1
1629372027129,4874,get all todos,200,,jp@gc - spike test 1-47,text,true,,29883,121,1516,1516,http://localhost:8080/todos,4874,0,1
1629372027305,4700,get all todos,200,,jp@gc - spike test 1-464,text,true,,29883,121,1514,1514,http://localhost:8080/todos,4621,0,0
1629372026405,5599,get all todos,200,,jp@gc - spike test 1-1109,text,true,,29883,121,1514,1514,http://localhost:8080/todos,5518,0,550
1629372027302,4706,get all todos,200,,jp@gc - spike test 1-1461,text,true,,29883,121,1514,1514,http://localhost:8080/todos,4705,0,0
1629372026408,5604,get all todos,200,,jp@gc - spike test 1-785,text,true,,29883,121,1513,1513,http://localhost:8080/todos,5515,0,546
1629372026888,5127,get all todos,200,,jp@gc - spike test 1-982,text,true,,29883,121,1510,1510,http://localhost:8080/todos,5126,0,0
1629372027232,4784,get all todos,200,,jp@gc - spike test 1-1145,text,true,,29883,121,1510,1510,http://localhost:8080/todos,4784,0,1
1629372027073,4946,get all todos,200,,jp@gc - spike test 1-495,text,true,,29883,121,1509,1509,http://localhost:8080/todos,4872,0,1
1629372027284,4741,get all todos,200,,jp@gc - spike test 1-1255,text,true,,29883,121,1506,1506,http://localhost:8080/todos,4616,0,0
1629372027199,4829,get all todos,200,,jp@gc - spike test 1-364,text,true,,29883,121,1505,1505,http://localhost:8080/todos,4829,0,1
1629372027032,4995,get all todos,200,,jp@gc - spike test 1-526,text,true,,29883,121,1505,1505,http://localhost:8080/todos,4995,0,35
1629372027033,4996,get all todos,200,,jp@gc - spike test 1-1628,text,true,,29883,121,1505,1505,http://localhost:8080/todos,4996,0,15
1629372027231,4800,get all todos,200,,jp@gc - spike test 1-1139,text,true,,29883,121,1505,1505,http://localhost:8080/todos,4800,0,1
1629372027071,4968,get all todos,200,,jp@gc - spike test 1-502,text,true,,29883,121,1501,1501,http://localhost:8080/todos,4968,0,1
1629372026828,5211,get all todos,200,,jp@gc - spike test 1-1173,text,true,,29883,121,1501,1501,http://localhost:8080/todos,5148,0,512
1629372027024,5018,get all todos,200,,jp@gc - spike test 1-169,text,true,,29883,121,1500,1500,http://localhost:8080/todos,5018,0,0
1629372026387,5656,get all todos,200,,jp@gc - spike test 1-750,text,true,,29883,121,1500,1500,http://localhost:8080/todos,5656,0,509
1629372027218,4830,get all todos,200,,jp@gc - spike test 1-304,text,true,,29883,121,1498,1498,http://localhost:8080/todos,4830,0,1
1629372026887,5163,get all todos,200,,jp@gc - spike test 1-1045,text,true,,29883,121,1498,1498,http://localhost:8080/todos,5163,0,1
1629372027250,4814,get all todos,200,,jp@gc - spike test 1-1177,text,true,,29883,121,1497,1497,http://localhost:8080/todos,4814,0,0
1629372026007,6057,get all todos,200,,jp@gc - spike test 1-1323,text,true,,29883,121,1497,1497,http://localhost:8080/todos,6057,0,1013
1629372027189,4875,get all todos,200,,jp@gc - spike test 1-899,text,true,,29883,121,1497,1497,http://localhost:8080/todos,4875,0,0
1629372025833,6231,get all todos,200,,jp@gc - spike test 1-1365,text,true,,29883,121,1497,1497,http://localhost:8080/todos,6231,0,1017
1629372026797,5267,get all todos,200,,jp@gc - spike test 1-740,text,true,,29883,121,1497,1497,http://localhost:8080/todos,5267,0,1
