timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1629372182256,1489,get all todos,200,,jp@gc - soak test 1-38,text,true,,90731,121,500,500,http://localhost:8080/todos,1487,0,1
1629372182260,1533,delete to do,200,,jp@gc - soak test 1-378,text,true,,266,213,500,500,http://localhost:8080/todos/11025,1526,0,0
1629372182320,1473,create a to do,201,,jp@gc - soak test 1-351,text,true,,666,258,500,500,http://localhost:8080/todos,1467,0,0
1629372183793,0,create a to do-0,200,OK,jp@gc - soak test 1-351,text,true,,310,0,500,500,null,0,0,0
1629372182319,1475,create a to do,201,,jp@gc - soak test 1-179,text,true,,666,258,500,500,http://localhost:8080/todos,1468,0,0
1629372183794,0,create a to do-0,200,OK,jp@gc - soak test 1-179,text,true,,310,0,500,500,null,0,0,0
1629372182291,1504,update a to do,200,,jp@gc - soak test 1-316,text,true,,323,260,500,500,http://localhost:8080/todos/11105,1496,0,0
1629372182230,1516,get all todos,200,,jp@gc - soak test 1-193,text,true,,90731,121,500,500,http://localhost:8080/todos,1514,0,1
1629372181460,2342,create a to do,201,,jp@gc - soak test 1-218,text,true,,666,258,500,500,http://localhost:8080/todos,2342,0,0
1629372183802,0,create a to do-0,200,OK,jp@gc - soak test 1-218,text,true,,310,0,500,500,null,0,0,0
1629372182267,1536,update a to do,200,,jp@gc - soak test 1-153,text,true,,323,260,500,500,http://localhost:8080/todos/11104,1536,0,0
1629372182348,1456,update a to do,200,,jp@gc - soak test 1-234,text,true,,323,260,500,500,http://localhost:8080/todos/11103,1452,0,0
1629372182221,1561,get all todos,200,,jp@gc - soak test 1-126,text,true,,90985,121,500,500,http://localhost:8080/todos,1558,0,1
1629372182364,1450,create a to do,201,,jp@gc - soak test 1-37,text,true,,665,258,500,500,http://localhost:8080/todos,1444,0,0
1629372183814,0,create a to do-0,200,OK,jp@gc - soak test 1-37,text,true,,309,0,500,500,null,0,0,0
1629372182351,1465,create a to do,201,,jp@gc - soak test 1-90,text,true,,665,258,500,500,http://localhost:8080/todos,1458,0,0
1629372183816,0,create a to do-0,200,OK,jp@gc - soak test 1-90,text,true,,309,0,500,500,null,0,0,0
1629372182356,1510,update a to do,200,,jp@gc - soak test 1-103,text,true,,323,260,500,500,http://localhost:8080/todos/11110,1510,0,0
1629372180492,3388,update a to do,200,,jp@gc - soak test 1-11,text,true,,323,260,500,500,http://localhost:8080/todos/11010,3388,0,0
1629372182357,1524,update a to do,200,,jp@gc - soak test 1-462,text,true,,323,260,500,500,http://localhost:8080/todos/11108,1524,0,0
1629372182374,1443,get all todos,200,,jp@gc - soak test 1-379,text,true,,90791,121,500,500,http://localhost:8080/todos,1441,0,1
1629372182375,1441,get all todos,200,,jp@gc - soak test 1-187,text,true,,90860,121,500,500,http://localhost:8080/todos,1431,0,1
1629372182374,1442,get all todos,200,,jp@gc - soak test 1-283,text,true,,90861,121,500,500,http://localhost:8080/todos,1440,0,1
1629372181466,2350,get all todos,200,,jp@gc - soak test 1-357,text,true,,90855,121,500,500,http://localhost:8080/todos,2350,0,0
1629372182383,1501,delete to do,200,,jp@gc - soak test 1-233,text,true,,266,213,500,500,http://localhost:8080/todos/11029,1498,0,0
1629372182383,1501,update a to do,200,,jp@gc - soak test 1-261,text,true,,323,260,500,500,http://localhost:8080/todos/11109,1498,0,0
1629372182356,1528,update a to do,200,,jp@gc - soak test 1-6,text,true,,323,260,500,500,http://localhost:8080/todos/11107,1525,0,0
1629372182383,1502,delete to do,200,,jp@gc - soak test 1-40,text,true,,266,213,500,500,http://localhost:8080/todos/10805,1497,0,0
